Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Coreset_BALD,Coreset,BALD,66.0,71.0,74.0,73.0,68.0,67.0,66.0,73.0,75.0,75.0,76.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,80.0,80.0,85.0,86.0,86.0,87.0,89.0,87.0,87.0,88.0,89.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,80.0,77.0,82.0,79.0,85.0,87.0,85.0,86.0,84.0,84.0,84.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,80.0,83.0,87.0,88.0,88.0,90.0,88.0,89.0,89.0,89.0,89.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,80.0,85.0,84.0,87.0,87.0,88.0,89.0,85.0,83.0,85.0,84.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,80.0,83.0,79.0,83.0,84.0,84.0,85.0,86.0,86.0,86.0,90.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,66.0,73.0,74.0,79.0,78.0,80.0,78.0,73.0,75.0,81.0,83.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,66.0,68.0,76.0,78.0,75.0,76.0,80.0,83.0,82.0,84.0,82.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,66.0,71.0,76.0,78.0,83.0,84.0,86.0,84.0,88.0,87.0,85.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,66.0,78.0,83.0,84.0,83.0,84.0,88.0,88.0,85.0,87.0,87.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,66.0,69.0,78.0,80.0,85.0,87.0,89.0,89.0,86.0,87.0,86.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,41.0,63.0,74.0,75.0,74.0,75.0,72.0,73.0,68.0,70.0,68.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,41.0,70.0,72.0,79.0,75.0,78.0,83.0,85.0,86.0,88.0,86.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,41.0,56.00000000000001,55.00000000000001,76.0,79.0,81.0,82.0,83.0,84.0,85.0,86.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,41.0,68.0,69.0,73.0,76.0,77.0,79.0,83.0,82.0,84.0,82.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,41.0,53.0,75.0,75.0,76.0,75.0,76.0,80.0,80.0,78.0,76.0
Consistency_Coreset,Consistency,Coreset,66.0,73.0,71.0,83.0,83.0,84.0,84.0,88.0,89.0,89.0,89.0
Consistency_Coreset,Consistency,Coreset,66.0,73.0,74.0,73.0,74.0,79.0,78.0,78.0,84.0,87.0,80.0
Consistency_Coreset,Consistency,Coreset,66.0,69.0,73.0,78.0,83.0,84.0,84.0,87.0,86.0,87.0,89.0
Consistency_Coreset,Consistency,Coreset,66.0,77.0,74.0,78.0,80.0,81.0,87.0,84.0,86.0,88.0,88.0
Consistency_Coreset,Consistency,Coreset,66.0,73.0,69.0,84.0,84.0,84.0,86.0,91.0,90.0,90.0,90.0
Entropy_Coreset,Entropy,Coreset,51.0,61.0,62.0,56.99999999999999,61.0,73.0,79.0,82.0,79.0,84.0,86.0
Entropy_Coreset,Entropy,Coreset,51.0,49.0,64.0,70.0,74.0,79.0,78.0,83.0,81.0,83.0,82.0
